Status,HTML_Formular,Access_Formular,Label,HTML_ID,HTML_Action,Access_Name,Access_OnClick
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,&#9654;,btnNächster,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,&#9654;|,btnLetzter,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,&#9664;,btnVorheriger,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,+ Neu,btnNeu,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,Löschen,btnLöschen,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,Speichern,btnSpeichern,,,
NEW,frm_Abwesenheiten.html,frm_Abwesenheiten,|&#9664;,btnErster,,,
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,,,,btnVor,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,,,,btnrueck,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Befehl179,,,btnRibbonAus,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Befehl179,,,btnRibbonEin,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Befehl179,,,btnDaBaEin,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Befehl179,,,btnDaBaAus,[Event Procedure]
MISS,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,btn_Formular_schliessen,,,Befehl37,[Eingebettetes Makro]
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,&gt;,btnVor,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,&lt;,btnrueck,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,&times;,Befehl37,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,+,btnDaBaEin,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,+,btnRibbonEin,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,-,btnRibbonAus,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,-,btnDaBaAus,,,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,⛶,fullscreenBtn,toggleFullscreen(),,
NEW,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,⛶,fullscreenBtn,,,
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Ab Heute,btn_Heute,,btn_Heute,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Dienstpläne senden bis,btnDPSenden,,btnDPSenden,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Einzeldienstpläne,btnMADienstpl,,btnMADienstpl,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Senden,Befehl20,,Befehl20,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Startdatum Ändern,btnStartdatum,,btnStartdatum,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Übersicht drucken,btnOutpExcel,,btnOutpExcel,[Event Procedure]
OK,frm_DP_Dienstplan_MA.html,frm_DP_Dienstplan_MA,Übersicht senden,btnOutpExcelSend,,btnOutpExcelSend,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,,,,btnVor,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,,,,btnrueck,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Befehl179,,,btnRibbonAus,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Befehl179,,,btnRibbonEin,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Befehl179,,,btnDaBaEin,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Befehl179,,,btnDaBaAus,[Event Procedure]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,btn_Formular_schliessen,,,Befehl37,[Eingebettetes Makro]
MISS,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Übersicht senden,,,btnOutpExcelSend,[Event Procedure]
NEW,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,&#9974;,fullscreenBtn,toggleFullscreen(),,
NEW,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,&#9974;,fullscreenBtn,,,
NEW,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,&gt;,btnVor,,,
NEW,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,&lt;,btnrueck,,,
NEW,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,&times;,Befehl37,,,
OK,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Ab Heute,btn_Heute,,btn_Heute,[Event Procedure]
OK,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Startdatum Ändern,btnStartdatum,,btnStartdatum,[Event Procedure]
OK,frm_DP_Dienstplan_Objekt.html,frm_DP_Dienstplan_Objekt,Übersicht drucken,btnOutpExcel,,btnOutpExcel,[Event Procedure]
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,&gt;&gt;,btnVor,btnVor_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,&gt;&gt;,btnVor,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,&lt;&lt;,btnZurueck,btnZurueck_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,&lt;&lt;,btnZurueck,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Aktualisieren,btnAktualisieren,btnAktualisieren_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Aktualisieren,btnAktualisieren,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Diese Woche,btnFilterWoche,setQuickFilter(,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Diese Woche,btnFilterWoche,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Dieser Monat,btnFilterMonat,setQuickFilter(,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Dieser Monat,btnFilterMonat,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Drucken,btnDrucken,btnDrucken_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Drucken,btnDrucken,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Export Excel,btnExportExcel,btnExportExcel_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Export Excel,btnExportExcel,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Heute,btnHeute,btnHeute_Click(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Heute,btnFilterHeute,setQuickFilter(,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Heute,btnHeute,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,Heute,btnFilterHeute,,,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,X,btnClose,closeForm(),,
NEW,frm_Einsatzuebersicht.html,frm_Einsatzuebersicht,X,btnClose,,,
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Auswahlfilter,,,btnAlle,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Befehl179,,,btnRibbonAus,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Befehl179,,,btnRibbonEin,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Befehl179,,,btnDaBaEin,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Befehl179,,,btnDaBaAus,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Berechnungsliste,,,btnAufRchPosPDF,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Einsatzliste,,,btnAufEinsPDF,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Kunden löschen,,,mcobtnDelete,[Eingebettetes Makro]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Neuen Anlage hinzufügen,,,btnNeuAttach,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Rechnung,,,btnAufRchPDF,[Event Procedure]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,btn_Datensatz_vor,,,Befehl40,[Eingebettetes Makro]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,btn_Datensatz_zurueck,,,Befehl41,[Eingebettetes Makro]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,btn_erster_Datensatz,,,Befehl43,[Eingebettetes Makro]
MISS,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,btn_letzter_Datensatz,,,Befehl39,[Eingebettetes Makro]
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,&gt;,kd-btn-naechste,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,&gt;|,kd-btn-letzte,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,&lt;,kd-btn-vorige,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Aktualisieren,btnAktualisieren,refreshData(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Aktualisieren,kd-btn-aktualisieren,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Angebote,kd-tab-angebote,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Ansprechpartner,kd-tab-ansprechpartner,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Auftragsübersicht,kd-tab-auftragsuebersicht,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Bemerkungen,kd-tab-bemerkungen,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Konditionen,kd-tab-konditionen,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Kunde löschen,btnLoeschen,kundeLoeschen(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Kunde löschen,kd-btn-loeschen,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Objekte,kd-tab-objekte,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Preise,kd-tab-preise,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Speichern,btnSpeichern,speichern(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Speichern,kd-btn-speichern,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Stammdaten,kd-tab-stammdaten,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Statistik,kd-tab-statistik,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Zusatzdateien,kd-tab-zusatzdateien,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,_,kd-btn-minimieren,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,|&lt;,kd-btn-erste,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,□,kd-btn-maximieren,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,⛶,fullscreenBtn,toggleFullscreen(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,⛶,kd-btn-vollbild,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,✉ Outlook,btnOutlook,openOutlook(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,✉ Outlook,kd-btn-outlook,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,✕,kd-btn-schliessen,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,📄 Word,btnWord,openWord(),,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,📄 Word,kd-btn-word,,,
NEW,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,🔍,kd-btn-nrsuche,,,
OK,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Neuer Kunde,kd-btn-neu,,Befehl46,[Event Procedure]
OK,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Umsatzauswertung,kd-btn-umsatzauswertung,,btnUmsAuswert,[Event Procedure]
OK,frm_KD_Kundenstamm.html,frm_KD_Kundenstamm,Verrechnungssätze,kd-btn-verrechnungssaetze,,btnAuswertung,[Event Procedure]
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,&#x26F6;,fullscreenBtn,toggleFullscreen(),,
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,&#x26F6;,fullscreenBtn,,,
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,Alle löschen,btnAllLoesch,,,
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,Berechnen,btnAbwBerechnen,,,
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,Markierte löschen,btnMarkLoesch,,,
NEW,frm_MA_Abwesenheit.html,frm_MA_Abwesenheit,Uebernehmen,bznUebernehmen,,,
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm, Neuer Mitarbeiter,,,Befehl46,[Eingebettetes Makro]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,...,,,btnDateisuch,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,...,,,btnDateisuch2,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Abzüge,,,btnZuAb,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Ausgabeformular,,,btnReport_Dienstkleidung,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Befehl179,,,btnRibbonAus,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Befehl179,,,btnRibbonEin,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Befehl179,,,btnDaBaEin,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Befehl179,,,btnDaBaAus,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Drucken,,,Bericht_drucken,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Drucken,,,btn_Diensplan_prnt,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze übertragen FA,,,btnZKFest,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze übertragen MJ,,,btnZKMini,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze übertragen einzeln,,,btnZKeinzel,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel Export,,,btnXLZeitkto,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLJahr,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLEinsUeber,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLUeberhangStd,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLDiePl,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLNverfueg,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Excel-Export,,,btnXLVordrucke,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Listen drucken,,,btnLstDruck,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Maps öffnen,,,btnMaps,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Mitarbeiter Tabelle,,,lbl_Mitarbeitertabelle,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Rechnungsdetails,,,btnRch,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Senden,,,btn_Dienstplan_send,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Stundennachweis,,,btnCalc,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Termine  eingeben,,,btnMehrfachtermine,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Update Jahr,,,btnUpdJahr,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Vordrucke für MA aktualisieren / einlesen,,,btn_MA_EinlesVorlageDatei,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Wochen-Dienstplan,,,btnMADienstpl,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Zeitkonto ,,,btnZeitkonto,[Event Procedure]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,btn_Datensatz_vor,,,Befehl40,[Eingebettetes Makro]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,btn_Datensatz_zurueck,,,Befehl41,[Eingebettetes Makro]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,btn_erster_Datensatz,,,Befehl43,[Eingebettetes Makro]
MISS,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,btn_letzter_Datensatz,,,Befehl39,[Eingebettetes Makro]
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,&#10005;,ma-btn-schliessen,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,&#9633;,ma-btn-maximieren,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Bestand Dienstkleidung,ma-tab-dienstkleidung,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Briefkopf,ma-tab-briefkopf,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Dienstplan,btnDienstplan,openDienstplan(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Dienstplan,ma-btn-dienstplan,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Dienstplan,ma-tab-dienstplan,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Dokumente,ma-tab-dokumente,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsatzübersicht,btnEinsatzÜbersicht,openEinsatzübersicht(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsatzübersicht,ma-btn-einsatzuebersicht,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsatzübersicht,ma-tab-einsatzuebersicht,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze FA,btnEinsaetzeFA,einsaetzeUebertragen(,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze FA,ma-btn-einsaetze-fa,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze MJ,btnEinsaetzeMJ,einsaetzeUebertragen(,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Einsätze MJ,ma-btn-einsaetze-mj,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Jahresübersicht,ma-tab-jahresuebersicht,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Karte,ma-tab-karte,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,MA Adressen,btnMAAdressen,openMAAdressen(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,MA Adressen,ma-btn-maadressen,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Neuer Mitarbeiter,btnNeuMA,neuerMitarbeiter(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Neuer Mitarbeiter,ma-btn-neu,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Nicht Verfügbar,ma-tab-nichtverfuegbar,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Qualifikationen,ma-tab-qualifikationen,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Quick Info,ma-tab-quickinfo,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Speichern,btnSpeichern,speichern(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Speichern,ma-btn-speichern,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Stammdaten,ma-tab-stammdaten,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Stundenübers.,ma-tab-stundenuebersicht,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Sub Rechnungen,ma-tab-subrechnungen,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Uberhang Std.,ma-tab-ueberhangstunden,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Vordrucke,ma-tab-vordrucke,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Einzel,btnZKeinzel,btnZKeinzel_Click(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Einzel,ma-btn-zkeinzel,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Fest,btnZKFest,btnZKFest_Click(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Fest,ma-btn-zkfest,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Mini,btnZKMini,btnZKMini_Click(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,ZK Mini,ma-btn-zkmini,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Zeitkonto,btnZeitkonto,openZeitkonto(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Zeitkonto,ma-btn-zeitkonto,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Zeitkonto,ma-tab-zeitkonto,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,_,ma-btn-minimieren,,,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,â›¶,fullscreenBtn,toggleFullscreen(),,
NEW,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,â›¶,ma-btn-vollbild,,,
OK,frm_MA_Mitarbeiterstamm.html,frm_MA_Mitarbeiterstamm,Aktualisieren,ma-btn-aktualisieren,,btnLesen,[Event Procedure]
